Dataset,Escenario,Metrica,Iteracion,Tiempo_ms,Memoria_Total_Bytes
IMDB,AddArista,BetweennessCentrality,10,64152.1,8729540
IMDB,RemoveArista,DegreeCentrality,1,0.066516,6592432
IMDB,RemoveArista,DegreeCentrality,2,0.069008,6592432
IMDB,RemoveArista,DegreeCentrality,3,0.073233,6592432
IMDB,RemoveArista,DegreeCentrality,4,0.106817,6592432
IMDB,RemoveArista,DegreeCentrality,5,0.077242,6592432
IMDB,RemoveArista,DegreeCentrality,6,0.06175,6592432
IMDB,RemoveArista,DegreeCentrality,7,0.075509,6592432
IMDB,RemoveArista,DegreeCentrality,8,0.064458,6592432
IMDB,RemoveArista,DegreeCentrality,9,0.061425,6592432
IMDB,RemoveArista,DegreeCentrality,10,0.061317,6592432
IMDB,RemoveArista,ClosenessCentrality,1,16201.2,6991344
IMDB,RemoveArista,ClosenessCentrality,2,14302,6991344
IMDB,RemoveArista,ClosenessCentrality,3,16100.5,6991344
IMDB,RemoveArista,ClosenessCentrality,4,14204,6991344
IMDB,RemoveArista,ClosenessCentrality,5,16051.6,6991344
IMDB,RemoveArista,ClosenessCentrality,6,14639.9,6991344
IMDB,RemoveArista,ClosenessCentrality,7,16158.3,6991344
IMDB,RemoveArista,ClosenessCentrality,8,14258.2,6991344
IMDB,RemoveArista,ClosenessCentrality,9,16067.3,6991344
IMDB,RemoveArista,ClosenessCentrality,10,13897.4,6991344
IMDB,RemoveArista,PageRank,1,50.775,6858328
IMDB,RemoveArista,PageRank,2,54.2666,6858328
IMDB,RemoveArista,PageRank,3,56.299,6858328
IMDB,RemoveArista,PageRank,4,59.5244,6858328
IMDB,RemoveArista,PageRank,5,55.4629,6858328
IMDB,RemoveArista,PageRank,6,54.16,6858328
IMDB,RemoveArista,PageRank,7,54.2956,6858328
IMDB,RemoveArista,PageRank,8,55.3946,6858328
IMDB,RemoveArista,PageRank,9,54.938,6858328
IMDB,RemoveArista,PageRank,10,59.4752,6858328
IMDB,RemoveArista,EccentricityCentrality,1,14707.8,6991344
IMDB,RemoveArista,EccentricityCentrality,2,16257.8,6991344
IMDB,RemoveArista,EccentricityCentrality,3,14126.9,6991344
IMDB,RemoveArista,EccentricityCentrality,4,16868.3,6991344
IMDB,RemoveArista,EccentricityCentrality,5,14567.5,6991344
IMDB,RemoveArista,EccentricityCentrality,6,16264.7,6991344
IMDB,RemoveArista,EccentricityCentrality,7,14411.6,6991344
IMDB,RemoveArista,EccentricityCentrality,8,16415.1,6991344
IMDB,RemoveArista,EccentricityCentrality,9,14131.1,6991344
IMDB,RemoveArista,EccentricityCentrality,10,16194.9,6991344
IMDB,RemoveArista,HarmonicCentrality,1,15926.9,6991344
IMDB,RemoveArista,HarmonicCentrality,2,14530.2,6991344
IMDB,RemoveArista,HarmonicCentrality,3,15958.2,6991344
IMDB,RemoveArista,HarmonicCentrality,4,13918.6,6991344
IMDB,RemoveArista,HarmonicCentrality,5,16136.9,6991344
IMDB,RemoveArista,HarmonicCentrality,6,14415.5,6991344
IMDB,RemoveArista,HarmonicCentrality,7,16055,6991344
IMDB,RemoveArista,HarmonicCentrality,8,14285,6991344
IMDB,RemoveArista,HarmonicCentrality,9,15956.8,6991344
IMDB,RemoveArista,HarmonicCentrality,10,13845.2,6991344
